ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-00803	@__3fah اضحكي اضحكي اضحكي ع اي شي راح يروح العوار اسألي مجرب	joy	0.370
2018-Ar-00917	لعل ابي مُخلد في الجنه لعلهُ مسروراً بلقى الرحمن	joy	0.422
2018-Ar-02989	افتح خزائن ذكرياتك شوف الصور هتلاقي قلبك يرتعش حب وشجن 😂 😂	joy	0.433
2018-Ar-01837	#معهد_الفتيات\nشكراً لها عندما تعبنا أمسكت بنا و قوتنا \nجزاها ربِ كل خير على ما تقدم لإسعادنا ❤️\nكتب بحب لـ #أمل_محمد_الفراج\n@amal_alfarraj	joy	0.438
2018-Ar-00411	@3bo9x1 قد ايش حماسي دا الفيلم😍❤❤.	joy	0.565
2018-Ar-03541	#اهداء من #المحب_العنيد ⚶ ⚶ للمبدعه والمتالقه #حنين 👑 👑 بمناسبة#وصولها ☽#50k☾ 🐥 🐥 الف مبروك شاهدين لكي بالخير طيروها	joy	0.609
2018-Ar-02696	كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈	joy	0.688
2018-Ar-03982	وقت يجي الفرح #افرح حتى لو لحظة لانك ما بتعرف امتى يدق الحزن بابك اصبحنا واصبح الملك لله 🌷 😍 😊	joy	0.563
2018-Ar-03536	@RawanMirza ربنا ما حيحملك فوق طاقتك اطمني لانو ربنا عارف ايش في قلبك الله يهونها عليكي ويعوضك بالفرح القريب❤️❤️❤️❤️	joy	0.406
2018-Ar-01583	@sarasayed282 وانت ماشي في مصر عارف انها فرحانة بيك 💜	joy	0.661
2018-Ar-01521	هابي بيرثداي 🎈 سنه سعيده يارب و كل ايامك حلوه مثلك ✨ ❤️	joy	0.797
2018-Ar-02029	يـارب هالفجر جايب معاه كل خير وسعاده وتوفيق يارب آختبار آجمل مما نتوقع استودعنا كٌل شي عندك وانتّ خير حفيظ 💌🎈.	joy	0.613
2018-Ar-03207	انا لما طيرت الطيارة كنت فرحان فشخ	joy	0.805
2018-Ar-01690	شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمة	joy	0.548
2018-Ar-02921	#وين_كنتي تحول فجأة لل #الهيبة صاير فيو عنصر التشويق #وين_كنتي	joy	0.281
2018-Ar-02583	البرشلوني يشجع اليوفي يعني متعاطف مع بوفون ساتر حقده على الريال بإدعاء حب بوفون صايدينك #يالفلم	joy	0.188
2018-Ar-01519	لا تخاف العمر يمضي وخلك طروب ان كبرنا يرجعناا حنين الصبا راح نبقى سوى رغم اختلاف الدروب شاءٓ من شاء يا خلي وابىٓ من ابى	joy	0.327
2018-Ar-00020	خطيئتي و صوابي أنني أحبتك أكثر من نفسي 💘 #شوق #حب	joy	0.387
2018-Ar-00641	#حائل #حكم #تفاؤل #سعاده #راحه كونوا دائما متفائلين ف 💝 ربنا 💝 -عزوجل- عند حسن ظن عبده به 😊	joy	0.672
2018-Ar-02023	عايز أقول لحضرتكم اني اكتشفت أظرف مسلسل كوميدي في رمضان!\n#الجزيرة_الاخبارية\n#ضحك_مستمر\n#SayonaraQatar	joy	0.438
2018-Ar-02683	كمية احساس وطرب زي السياره لما تعبيها فل 😍 ❤	joy	0.641
2018-Ar-02133	صباح الفٌل، بعد حديثك عن أزهار الفٌل، مررتٌ على مشتل و سألته عنها، بعد رؤيتها زاد حنيني لك و روحي تغير حالها و صار الصمت يغلب علي.	joy	0.328
2018-Ar-02866	#مبسوط 😊 وفخور #انا الليلة #شفت نفسي في #التلفزيون 😍 😍 🏃 #بعد-ما-قفلتو 🐸	joy	0.750
2018-Ar-02670	فرحة امبارح وفرحة النهاردة 👏❤\nوالله بنسى تعب الامتحانات والمذاكرة والارف \nبمجرد ما بتفرج ع الأهلى والريال 😍	joy	0.871
2018-Ar-01917	كل الأماني الصادقة والمحبة الخالصة لكم ولمن تحبون كل عام وأنتم بألف خير فطر سعيد	joy	0.516
