ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-01961	إلىٰ متىٰ الألم يغلب على الفرح	valence	0.097
2018-Ar-03289	@Al3mriRami @Holyliviuss كل مافي الأمر أني غاضب أننا لا نظهر ولا نقدم أساطيرنا بأنفسنا\nغاضب على أنفسنا وليس الغرب	valence	0.219
2018-Ar-04349	يحذركم ويخوفكم من نفسه اذا ارتكبتم ذنب او معصيه فانه سينزل بكم عقابه #كنوز #دار_الريان_النسائيه ~~	valence	0.313
2018-Ar-03640	💞 💞 صباحكم سعادة في اليوم المبارك تقبل الله صيامنا وقيامنا 💞 💞	valence	0.828
2018-Ar-01176	@sjalmulla شفته قبل اسبوع ومتشوقه عليه وايد الصراحه 😍😍😍 بالتوفيق يارب ❤️	valence	0.719
2018-Ar-00982	بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا	valence	0.371
2018-Ar-02838	#متجر_قهوه_مجيد\nماشاء الله \nالله يزيدك ويبارك لك في رزقك\nتستاهل كل خير...\n\nمدري ليش كل م اشوفك تتوسع بتجارتك آحس بسعاده كبيره 😀	valence	0.844
2018-Ar-01590	#تعب #حزن #ضيق #وجع #ارهااق #مختنق #صدماات	valence	0.156
2018-Ar-01819	صباحي في اتم الارتياح انك الحلم الذي تحول الى واقع بمشاركة الاماني واحلام بالمنام	valence	0.859
2018-Ar-01564	خالتو عندها ولدين وحامل بتقولي لو ولد هسميه معاذ ولو بنت روفانا \nافهمها ازاي ان الاسمين مش عاجبني 😄😡😡\nاقولها ازاي ان عاوزة مصطفي أو هنا 😄😍😍	valence	0.500
2018-Ar-02019	#فرحة_رمضان   😉\n\nقولنا هتعمل ايه أول يوم رمضان 🤔\n\nالمايك معاك 🤗	valence	0.774
2018-Ar-02700	- أخاف أن تقتل أولادنا التعاسة وضيق الاحتمالات - جرعة أمل ويعودا للحياة فلا تقلق	valence	0.349
2018-Ar-02103	يا اخي متى يخلص شهر ٧ العن خيره بطئ وكله بلاوي 😤	valence	0.375
2018-Ar-01559	باذن الله اجمل تفاؤل بالخير	valence	0.828
2018-Ar-00749	@Athoug#_ @DMohammed_ ليش أدفع فلوس عشان أتوتر و كل شوي أنقز	valence	0.201
2018-Ar-02076	@79ixii المشكله في ضميرك مو الاكل\n اسفليه 😗	valence	0.406
2018-Ar-03808	اللهم لك الحمد رضا الله سعادة دائمه #السعوديه_الثالثه_في_السعاده	valence	0.766
2018-Ar-00835	كل الناس نزلت رواتبها تقريبا \nإلا رواتب المتقاعدين \n#بنك الإثمار\nعسى ماشر \n\nوراهم عيد مو ضروري فايدة هالشهر \n#Bahrain	valence	0.250
2018-Ar-02064	كلام الناس اللي متعاطفة مع بوفون محسسني أنه مخدتش ولابطولة فحياته وهيعتزل بصفر بطولات:D ياجماعة الراجل واخد كأس عالم شوية تقدير لتاريخه يعني	valence	0.438
2018-Ar-00426	@H_More_F والله كآبه غير طبيعيه بعدين عطني حل معقول ماطلع معك الا انتحر 😂	valence	0.391
2018-Ar-02578	هه هذا من الخوف و التوتر الي يسببه الاهلي	valence	0.219
2018-Ar-03686	لا شيء أجمل من إشراقة صباح هادئ يقول لك فيه من يحبك صباح الخيرفيغدو الصباح صباح الخير والحب والأمل والهدوء والنشوة وكل الأشياء الجميلة 😍 💙	valence	0.871
2018-Ar-02320	فرحان عايز اضحك 😂 😂	valence	0.953
2018-Ar-01768	هاذي الايام متنرفزة🔥 ودي اشوف اللي اكرهه واطقه واطقه واطقه واعضه واقطع شعره وامشخه واشوهه اخخ بس ليته.!🔥🙂💔	valence	0.141
2018-Ar-02454	بينيك امك يا ابن المتماكة يا خول اول مرة اشوف متناك فرحان ان امه واخته بيتناكوا	valence	0.156
2018-Ar-01349	ميت انا! مابي مشاعر ،ميت انا! لا حب ولا بشر، ميت انا !من قصة قديمة، ميت انا !من غصة أليمة😣😣😣😣	valence	0.210
2018-Ar-00482	كل سنه وانت طيب يا ا خ و ي ا 💙 ❤❤ وعقبال مليون سنه سلكان وانبساط 😂 😘	valence	0.766
2018-Ar-02664	ده عيد تحرير سيناء في بهجة عن العيد ده والله 😂 🙂	valence	0.766
2018-Ar-03800	الصورة بتحلى بتفاضيلها حاجات لو بس هنعملها\nنلقى الفرحة عايشة معانا ف كل مكان\nلما القلب يدق يدق يدق يدق❤#بهجه👏🎀 \n#احمد_حلمي #دنيا_سمير_غانم	valence	0.661
2018-Ar-04055	تعالجتي عند دكتور طيب ترى انتي عندك نوبات هلع وقلق واعراض نفس جسديه وعندك شعور بالغربه عن الذات وهذا كله علاجه بسيط	valence	0.484
2018-Ar-00250	لأول مره اعيش رهبة خوف حزن واقعي انكسار ما ينجبر فقدان اعز ما عندي دموع امي و ابوي و اخواني يارب الطف بقلب كل فاقد	valence	0.094
2018-Ar-02840	دكتور هل من لديه نوبات ذعر عليه ذنب اذا لم يذهب الى المسجد	valence	0.438
2018-Ar-03743	وأرجع وأقول ننسى كل الكلام ده إلي بقوله أنا أو غيري ونشوف الصورة بشكل اشمل وأوسع بعيدا عن ضغط الخوف خصوصا بالخليج الذي يعيش حالة هلع وزعر	valence	0.339
2018-Ar-04387	الأمن السعودي هو من أنقذ رفاقك في جزيرة الخبث والفتنه باليمن عندما كانوا على وشك الوقوع بإيدي الحوثيين في عدن أخرس يا وضيع	valence	0.323
2018-Ar-03790	الحكايه مش حكايه #زعل الحكايه حكايه قلب #اتوجع :(	valence	0.078
2018-Ar-00629	نظرة تأمل وتفكير لسنين مضت بلمح البصر مليئه بذكريات حزينه وفراق وخيبة أمل رسمت على ملامحها تجاعيد الزمن	valence	0.201
2018-Ar-02819	نايمه في سلام الله فجأه اسمع صراخ عشان المنتخب قومتني من نومي بفزع كان نفسي اقوم واطفي التلفزيون بس اكتفيت بتهدئه قلبي المرعوب وغمضت عيوني	valence	0.203
2018-Ar-00108	تعبان وجهى و دموعى قهرتنى #موجوع_قلبى 💔	valence	0.188
2018-Ar-04261	يلي مفكر حالو فهمان وعامل فيها #أمني_لفصيله\nونازل #ترعيب و #ترهيب و #طحش و #مداهمات\nبحب قلك انك على #نهج_الشبيحة\n\nالقرون أشرف إلك.. 😊	valence	0.297
2018-Ar-01558	ايش اجاوب وانتي داري عارف الحال بوضوحي،من يصدقني اذا قلت الفراق بلا سبب؟🎶🖤🖤.	valence	0.467
2018-Ar-03075	طب انا اقسم بالله بسمع اغنية راجعين جسمي بيقشعر حلاوة اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍	valence	0.703
2018-Ar-01477	محتاج اكلم واحدة تحنن عليا حزني فالموبيل 😂	valence	0.548
2018-Ar-02798	اكو ناس ماعدها شغل وعمل بس تتصل عليك وتسمعك اخبار زفت وكلام زفت 😑 بحيث ظليت من يتصلون أخلي ايدي على گلبي 😤	valence	0.258
2018-Ar-02787	مسوين منتو زعلانين على الرابع لا انا زعلان كان الفيصلي والفنح في متناول اليد وبكل بساطه تقوم (تتعادل بغباء وتخسر باستهتار) شئ يقهر #الاتحاد	valence	0.313
2018-Ar-00100	#على #سبيل #الفرحة #اليوم #عيد #ميلادها\n#عساني #بكل #عيد #ميلاد #معاها 😪💔	valence	0.828
2018-Ar-01240	@MahaHegazy2016 @CleopatraPhVII دول ولاد ستين ف سبعين تيت 😠	valence	0.172
2018-Ar-02280	الحقيقي اني بحاول ابقي فعليا داخليا بارد وهادي ومش عصبي بس انا عندي ثبات انفعالي خارجيا بس بتقطع من جوايا ونسيت طعم الفرح 😅 😅	valence	0.375
2018-Ar-01963	#احتفالات_عيد_الرياض\nزينوا الشوارع بس ترا ملينا من الزحمه خلوا عني الاحتفالات والحركات اللي مالها سنع ومو لايقه عليكم😤😖	valence	0.516
2018-Ar-02830	شبعنا كراهية وحقد وضغينة وفتنة فإمساك بمعروف أو تسريح بإحسان مع ذلك أنت لا تملك مصير غيرك كن حضاري بوجودك	valence	0.266
2018-Ar-01016	@siniora_khateeb 😰😱😱😱 فراق مين ع مين	valence	0.313
2018-Ar-03547	احتفالية جمهور الأهلي ب صالح جمعه بعد أداءه الرائع بمباراة سموحة لابد أن تدفعه لإظهار المزيد من التألق ما أروع أن يعشقك جمهورك ننتظر المزيد	valence	0.719
2018-Ar-02366	حتى خرج لنا جيل مسعور جنسيا ومتعطش لأي احتكاك جيل تفكيره منصب بالكامل على الجنس جيل قليل الوعي جيل منافق ومستشرف	valence	0.177
2018-Ar-00198	الطمأنينة الأعمق \nأن الله يعلم مافي الصدور	valence	0.694
2018-Ar-03979	واحد كان بيبيع صواريخ باين وعيل صغير بيشتري منه فعشان يقنعه انه يشتري كتير قاله ده حلو ده تولعه يفرقع ف أي حد من دماغ اصحابك ماركيتينج جميل 💙	valence	0.547
2018-Ar-02200	ممكن يعمي الحج تقسطلنا ال11سنة الي ضايليين  !؟ - يشعر بـالاستياء	valence	0.371
2018-Ar-04363	#BFF_G709 حب الأصحاب مختلف تماما ورد ورضا وأمان	valence	0.758
