ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-00129	جمعني زماني فيك من بين كل الناس وصارت حياتي في وجودك لها معنا ولكن مثل ماقلت لك كان قلبي حاس نبي نفترق والوقت ماراح يجمعا #ضيقه 😞 💔 #حزن 💔 😞	anger	0.500
2018-Ar-00759	@mnwry1 لا ما يحتاج أعطيج هنا ! أنتي ساقطه ! شو رايج تنتحرين ! و بعدين قصتج تنرفز اللي سمعتها! انتي خياناتج اكبر من #خيانة_قطر	anger	0.828
2018-Ar-04271	انتي كده مرتاحه يعني انا حاسه ان في خطوره علي كل محلات الاكل اللي حواليكوا يا رنا	anger	0.177
2018-Ar-03121	فعل #قطر من غدر وخيانة ذكرنا بفعل صدام الأسود وغزوه للكويت الفرق أن الأول قزم فلجأ للطعن بالظهر والثاني طغى وتجبر فظن الظلم حق #خيانة_قطر	anger	0.703
2018-Ar-01388	مبحبش التهديد حتى لو ف مصلحتى 😠	anger	0.516
2018-Ar-03178	بالنسبة ان انا فعلا تعبت 😖 مش عارفة اذاكر ولا عارفة انام .offf😤	anger	0.484
2018-Ar-02597	الخبره قتلوا مرتزقة تعز بالسلاح وانا قتلت مرتزقة التويتر #غيظ يارب لك الحمد هذه الانتصارات هه	anger	0.469
2018-Ar-04155	و ممكن تكون زعلان من حد جدا بس فى نفس الوقت واحشك جدا أصل الغلاوه واالحب ملهمش علاقة بالزعل	anger	0.382
2018-Ar-03687	مخنوق معصب خليك بالبيت ماتطلع اتقول شكل للبيع ان يوصل عدد الشجار بين الناس 445 حالة شجار بعضها انتها بالموت	anger	0.576
2018-Ar-02578	هه هذا من الخوف و التوتر الي يسببه الاهلي	anger	0.266
2018-Ar-04092	فيصل قاسم وقناه الجزيره سبب خراب سوريا ربنا ينتقم منكم	anger	0.794
2018-Ar-00267	المود مش حلْو خالصصصص😤.	anger	0.406
2018-Ar-01339	دكاترة الاسنان خلقه مرعبين فكيف اذا كانو شديدين وعصبيين 🙁 احباط 👎 🏻	anger	0.516
2018-Ar-03659	حلقي راسي رجولي ركبتي فقدت الاحساس فيهم يعني اوكي مجربه بيت رعب بباريس وبدبي ومت خوف بس حقت اليوم تفوز هذا وانا كنت مستهينه فيها اهه 😭 😭	anger	0.470
2018-Ar-03956	@urhshis بس لازم نعلمه ان انتي الي طلعتي التاق مو على كيفه ينسبه لجمهوره كل الجماهير شاركت😡	anger	0.578
2018-Ar-01694	@docshayji لان الشعوب مثل الغنم. تبع من تحال لها خوفا من بطش حكامهم	anger	0.636
2018-Ar-00228	سعد الدين وش هالخبث 😮😮 !!	anger	0.470
2018-Ar-03289	@Al3mriRami @Holyliviuss كل مافي الأمر أني غاضب أننا لا نظهر ولا نقدم أساطيرنا بأنفسنا\nغاضب على أنفسنا وليس الغرب	anger	0.788
2018-Ar-02661	شفت بعينى حالة غليان حقيقي في الشارع غضب شعبي كبير ايوه ولكن الخوف يسكن داخل الناس	anger	0.594
2018-Ar-02539	الشوق يقتلنا دون أدنى رحمة الحنين كافر #تنهيدة	anger	0.328
2018-Ar-00560	إنفعالي لما احد يحكيني انه الشخص اللي يحبه قاعد يوجع قلبه مو طبيعي وكأنه بكل مره الوجع بقلبي انا.	anger	0.469
2018-Ar-04121	@jannat_hoda هههه والمشكل لي عندو ؛! مظاهرات واحتجاجات واعتقالات بالجملة في غليان من شهر	anger	0.455
2018-Ar-02915	من الطبيعي إنه يكون في ارتباك أو خوف لدرجة الهلع في نبرة صوت المعزبة بمثل هالموقف لكنه مفقود بهالمقطع	anger	0.288
2018-Ar-02439	الرسم ده كابوس بالنسبالي 💔	anger	0.409
2018-Ar-03260	لحد يلوم أحد في التصرفات الحاصله بدافع العصبيه لأن معليه إنتوا السبب ف ردات فعلنا	anger	0.515
2018-Ar-00620	قد تصيبك الكآبة والحزن لأن من تحبه مصاب بها "))	anger	0.328
2018-Ar-03441	@MoniaNajm اي حد يكتب العايزو و انا من حقي اتذمر كمان الموضوع بسيط 😂	anger	0.167
2018-Ar-00067	وجه عبوس	anger	0.484
2018-Ar-02472	@mm_888s انا ضد هذا الكلام كل واحد ظروفه ليش  الناس البهائم الي ما تفهم اعوذ بالله 😡😡🔪	anger	0.703
2018-Ar-02938	ورغم علمى أنه خير ولكنى حزين يا الله و وحيد ليس لقله من حولى ولكن لفقدان من يشعر بما أشعر فأنا هنا فى قاع خوفى وحدى أخبرك أنى أثق بك فأحمينى	anger	0.438
2018-Ar-03734	#افتحوا_ملفات_فساد_المجنسين ياليت تسحب الجنسية من المجنسين مالعب بالبلد إلا هم ،والمجنسين سبب هدم للبلد 😡	anger	0.742
2018-Ar-00751	حزين سؤالها لما قالت : أهملتيتي يا صديقتي لخاطر مين ؟ .	anger	0.337
2018-Ar-04113	صباح الخير وبالرغم من ضراوة ما تقترفه مازال يسار صدري يفز كلما ذكر أسمك	anger	0.250
2018-Ar-01319	ماهو غضبي مش هيمتص نفسه يعني	anger	0.750
2018-Ar-01172	الخنزير كلب المخابرات اللى خايف لاسياده يغضبوا عليه انا مش عارف انت شايف نفسك ازاى ولا لما بتقعد مع نفسك	anger	0.875
2018-Ar-02800	ربي ارح فكر ابي وابعد عنه الهم والحزن وأسعده سعادة تبكي عينه منها ربي بشر ابي بخبر قريب يسعد قلبه وحقق احلامه وما هو شاغل فكره 💤 💗	anger	0.156
2018-Ar-00315	#اعتداء_تكارنه_علي_رجل_امن اثق ثقة تامة بحزم الأمير خالد الفيصل والله راح تصيرو عبرة ياكلاب افريقيا لغيركم من الجاحدين لخير البلد	anger	0.734
