ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-01844	النهارده كنت قاعد في البيت مرعوب من صوت جمهور الدرجة الثانية	fear	0.773
2018-Ar-00071	@JeddahAmanah اول مره اشوف حديقه وسط طرق سريعه \nلا مواقف سيارات وكمان فيه خطوره على الاطفال ..!!	fear	0.636
2018-Ar-03481	اي حلو وانت مرعب العالم حاط السكين على يمينك 😨 😨 الله يكفينا شرك اللي ما يرسل شيء حلو دغدغه بها 😆 😆	fear	0.422
2018-Ar-02245	الأنظمة التي تمارس الحجب عن الكلمة والرأي المخالف هي أنظمة #جبانة بالنهاية الكلمة هي من تنتصر التاريخ قال هذا #قطر #السعوديه #الخليج	fear	0.339
2018-Ar-02529	وحيد جدا أغلق هاتفي بلا خوف من أن يقلق بشأني أحد أنام طويلا غير مباليه بصباح أو مساء بيوم أو تاريخ	fear	0.422
2018-Ar-02094	معنديش اي مانع من انك تيجي تكلميني و تحكيلي علي اللي مضيقك و اكيد هقف جنبك مهما كل اللي كان حصل بنا بس بلاش #خوف و بلاش #تردد 😉	fear	0.328
2018-Ar-03563	الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل *	fear	0.545
2018-Ar-00079	مفيش حاجة اسمها صدفة \nده مجرد جرس إنذار بيقولك خلي بالك فيه حقائق تانية في حياتك\nانت لسة ماشفتهاش	fear	0.306
2018-Ar-03417	عندي فوبيا من انواع منهم بس بس متأكد ال بيحب تربيتهم يحس ال بتقولي عليه أكتر طبعا وأن في بشر مش محصلين كلاب حتى 😃 👌	fear	0.453
2018-Ar-00806	@shajan20ksa ههههههههه عندي فوبيا من الاماكن المرتفعه معليش ارسلي الفطور لبيتنا	fear	0.359
2018-Ar-04190	ارفع رجولك لما تمشي عيب عليك تجرها #ضوضاء #ازعاج_سمعي #قلق	fear	0.531
2018-Ar-04095	ستة #مخاوف تحفز التفكير #السلبي : الخوف من #الفقر الخوف من #النقد الخوف من #المرض الخوف من #الوحدة الخوف من #الشيخوخة الخوف من #الموت	fear	0.688
2018-Ar-00371	@Lemo24398079 مش انسان اللى يعمل كدا  مناظر مروعه للاطفال	fear	0.750
2018-Ar-01401	مش غلط وهم بالسجن ياكلوا من #الدجاج_الفاسد الذي أرسلوه لاهلنا \nخلي يمشي عليهم المثل القائل : من حفر حفرة لاخيه وقع فيها\n#بس_بقول\n#الاردن	fear	0.403
2018-Ar-03834	طول ما عندك فوبيا من الخوف من النتيجة عمرك ما هتبقي ايجابي ولا هتعرف تعمل حاجة تسعدك والندم دا من متع الحياه لو مفيش ندم	fear	0.531
2018-Ar-01924	من مقاصد سورة الدخان: الإنذار بالعذاب المرتقب من خلال تخويف المكذبين من عذاب الدنيا والآخرة - المختصر في تفسير القرآن الكريم	fear	0.516
2018-Ar-03171	متى اثير فضولك ؟\nالحين كل شي يثير غضبي مو فضولي لا خلص الصيفي اتفرغ لفضولي💔🙂	fear	0.414
2018-Ar-00810	@prw190 اش ذا والله انزعجت من سرعة كلامه ماقدرت انتبه😒😒😒😬😬😬😤😤😤	fear	0.364
2018-Ar-00206	الأنا خايف منو وبقرض في أضافري من التوتر إنو البيتكوين يبقى بعد شوية من متطلبات الشيلة والله إلا نجعر	fear	0.734
2018-Ar-02834	سيضرب بيد من حديد كل مأجور سافل حقير تسول له نفسه أن يتطاول على أعراض الناس أو أموالهم وسيصبح عبره ورساله لأسياده وإن غدا لناظره لقريب	fear	0.328
2018-Ar-02839	العتب ماهو زعل لو يضايقك كثر إنفعالي \nوإنت او أزعل على كل البشر ما أزعل عليك.	fear	0.422
2018-Ar-00824	انا اخاف كثير من الحيوانات بس احبها من بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني فيها هل فيه احد عنده حل خصوصا ان ودي ودي بس فيني رهبة	fear	0.727
2018-Ar-03937	ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا	fear	0.719
2018-Ar-01524	لا ي هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين في :/ خوف وذعر	fear	0.848
2018-Ar-03215	اقدر اجزم ان ثلاث ارباعكم ما جرب شعور الكآبة والاغلبية آخذينها من باب الكشخه قرف يع	fear	0.590
2018-Ar-00105	كعادة المصريين على مر التاريخ مصابون بالهلع و الخوف من المجاعات هم أكثر الناس استفادة من النيل يحبون الشكوى دوما	fear	0.469
2018-Ar-02826	ودي اعلمك ب همومي ولكني اخاف اعلمك فيها ما تقدرها #أخاف	fear	0.656
2018-Ar-02500	طبيعي بعد اللي وصلتله و شوفته من حياتي اني ابقي خايف و مش واثق في اي شخص بيحاول يقرب مني	fear	0.797
2018-Ar-03115	انا حانق عليهم في موضوع ريد ديد يعني نخرف التاريخ عشان خاطرهم	fear	0.394
2018-Ar-00173	هو متقن لكنه ذكر أنه متوتر من اللجنة وخصوصا فيصل لبان دائم يقطع تلاوته بسبب المقامات ممايخبط عليه حفظه	fear	0.366
2018-Ar-01287	#كابوس ثورات الربيع العربي والهزيمة النفسية	fear	0.625
2018-Ar-00960	الله يعين البنت اللي خاطبة واحد قطري! \nع مين ترد؟ ع قلبها ، ولا ع دول الخليج 😂\n\n#حزينه\n#عمر_زوربا	fear	0.313
2018-Ar-04223	مر على فقيدتي سنين و ما زالت تلك الصدمة تأسرني و مازال فقدانها جرح لا يبرأ 🍂 💔	fear	0.545
2018-Ar-02918	هل تجرؤ الدول المقاطعة لقطر إتاحة الفرصة لشعوبها بالتعبير التام عن ما يحدث دون خوف وترهيب أو تهديد بالسجن أو نشر للجان الإلكترونية قطعا لا	fear	0.531
2018-Ar-01448	وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم عن امتحانات بعد بكره 🤓🤓	fear	0.563
2018-Ar-03983	#دموع_باردة\n\nمن يعز عليك تحافظ عليه، لأن الانسان لا يفرط في حياته ولا يتنازل عن سعادته ، فالحبيب بمكانة البصر والسمع للعين والأذن\n\nمش كدا؟	fear	0.344
2018-Ar-03028	ب اغرد اني العصفور هذاك اللي خذوا عشه وحيد فوق جدر السور وبداني الغيم في رشه بها فزيت ك المذعور من فراشي وفي وششه	fear	0.578
2018-Ar-00804	انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب	fear	0.547
2018-Ar-01483	@O_8ee \nكفي يانفسي عن الوسواس وانكفي \nوابليس لايدخلك و الشك يحلالي\n\nلو اني اعرف صدور الناس وش تخفي \nثلثين عمري بتمه عايش لحالي	fear	0.531
2018-Ar-03860	حزين ولست حزين على حزني إنني أفخر بهذا الحزن الذي يملئ صدري أفخر لأنه الهدية الآخيرة التي بقيت لي بعد الراحلين "	fear	0.500
2018-Ar-00339	محدش هيسال عليك في#غيابك غير اللي هيحس ان يومه ناقص من #غيرك	fear	0.425
2018-Ar-03375	أحلى شعور تسوين فيه اسلوب نرفزة طلعي اللي بداخلك بنفرزة ويختفي الشعور الماكس اللي بداخلك	fear	0.382
2018-Ar-00763	الولد اللي بيضرب الكلب ده في الفيديو انا مش عارفه أشتمه ازاي 😡	fear	0.323
2018-Ar-03876	احتاج افرغ غضبي على احد بس محد له ذنب فلذلك اتطرق للانعزال	fear	0.656
2018-Ar-03206	أنا إنسان #ضائع هنا أتحدث عن أوجاعي وربما سأتحدث عن أوجاع غيري ستكون كمية كبيرة من السلبية موجودة هنا ولكنها تمثل حال الكثير	fear	0.578
2018-Ar-02314	@mahaelfiky48 @toqa_yasserr انتي ما بتحبيش الشوكولاته يا مها هانم مش كل ما اطلب حاجه تطلبيها 😠😠😠 سيبني استمتع مره من نفسي	fear	0.141
2018-Ar-03107	طبقا للبرلمان الجديد \nانا بدور علي اسم لنفسي \nمعيش فلوس ادفع الغرامة 🤣🤣🤣ا\nطول عمري اقول \nانا مش انا يا دكتور 😠😠😠😠	fear	0.234
2018-Ar-03974	@eyad1949 انا ايضا لست جنرالا ، لكن إرسال التعزيرات ممكن يكون لمواجهة مخاوف وتهديدات قادمة من الجنوب ، والله اعلم	fear	0.580
2018-Ar-02821	صارلي شي مية سنة مشلوحه بهالدكان ، ضجرت مني الحيطان و مستحيه تقول\n*القعدة في الاوضة بين الكتب و الملازم*	fear	0.484
2018-Ar-00528	ما راح اسمح لنفسي اظل جبانة هذي هي خطوتي الاولى وراح اتحمل نتيجتها على الرغم من الخوف اللي يقبع داخلي	fear	0.734
2018-Ar-00639	لو لا تنام يداي المرتجفة إلا في يديك لو لا أخاف أن يخدش أمانها ارتجاف قلبي إن رأت أيدي سواها	fear	0.500
2018-Ar-02400	تقارير #شبيغل #الالمانية عن #الموصل موجعة حد الحقد الذي يفوق كل وصف!	fear	0.453
2018-Ar-01063	شيء ما يقوم بإشعال فتيل الرهبة في قلبي كلما تعلق الموضوع بالحب #شهد	fear	0.636
2018-Ar-00306	كما يتسبب استخدام دبة الصوت او الهيدرز في إزعاج الآخرين في الطريق العام أو الأحياء السكنية أو دور العبادة وغيرها #الداخلية_قطر	fear	0.359
2018-Ar-02733	#حسرة كم كنت اتمنى ان تعيشي هذا اليوم معي في جو عائلي كما كنت في السابق اسرد لكي كل المستجدات لتفاصيل يومي وعائلتي	fear	0.516
2018-Ar-00126	ياربي لا انا بنته ولا يقرب لي وبموت من التوتر يارب صبر اهله وبشرهم برجوعه لهم وعوض صبرهم بفرح يارب #HomaidanAlTurki	fear	0.703
2018-Ar-03719	انت مبتكلمنيش علي الواطس ليه ؟\nيخربيت الطعليم المجاني 😠  \n#احلي_حاجه_في_رمضان2017	fear	0.109
2018-Ar-00141	يارب تطلع النتيجة الي فيها خير بموت من التوتر💔💔	fear	0.828
2018-Ar-00174	أول ساعة بعد ماأصحى عبارة عن صمت عشان مو كويس اتكلم وانا ماشبعت نوم 🙃 #جوع_نوم	fear	0.188
2018-Ar-03734	#افتحوا_ملفات_فساد_المجنسين ياليت تسحب الجنسية من المجنسين مالعب بالبلد إلا هم ،والمجنسين سبب هدم للبلد 😡	fear	0.355
2018-Ar-00048	@Mwjrdocoe8389 كلزق يارافضي انت عار العراق انتم كلكم دجاج .. لايمكنك اشعال الفتنة بينن دول الخليج والعراق 😡	fear	0.531
2018-Ar-02165	لا ترضى بنصف #حب ولا بنصف #فراق ، اما كل شي او لا شي على الاطلاق .	fear	0.344
2018-Ar-02497	أكره الأشياء اللي تنعاد في رأسي أكثر من ألف مرة وتسبب لي #قلق #ارق #اضطراب	fear	0.690
2018-Ar-02350	@3alyoum التوسل والخوف اللي صابها ماشفته حتى بالافلام دامها ماهي على غلط ليه كل الهستيريا والرعب اللي اصابها ؟؟	fear	0.641
2018-Ar-04345	المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬	fear	0.530
2018-Ar-01628	#غرابيب_سود ام بي سي هالحثاله يعني ايش بيطلع منها مثلاااااا ؟؟؟؟ قبحهم الله	fear	0.348
2018-Ar-04130	هذا الفريق كان يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق في مدريد بس التوتر ما بيروح قبل مباراة ملقا ☹️ 💔	fear	0.484
2018-Ar-04384	شكله مرتاع او بردان 😂 💔	fear	0.297
2018-Ar-00663	كم اتمني ان اقتل هذا الفتي بداخلي\nفأنه دائما ينظر للبريق بأعين مرتجفة\nالعروق اخترقت صلبة عينيه حتي تحولت الي سيول من الدماء	fear	0.629
2018-Ar-03819	مرهق يا أمي و مذعور أيضا	fear	0.851
2018-Ar-03454	هذا كله خوف النوفلي من اغلاق القسم لانه الكثير الآن يتردد من الالتحاق بهذا التخصص بسبب تكدسهم في البيوت من دون عمل	fear	0.625
2018-Ar-01554	ايه يارب اللي بيحصل فينا ده ليه احنا بس اللي بندفع تمن ثورتنا ظلم وقهر غربه وسجن ومرض \n#وجع\n😓😓	fear	0.661
2018-Ar-04175	#فوبيا_عندك_من الجن في خوف من البيت لحالي لو يتحرك منديل من الكيف قلت جني ووقف شعر راسي 👹	fear	0.734
2018-Ar-02395	ابغا اقول شي صار لي واتفلسف بس متردد مدري ليش	fear	0.419
2018-Ar-01953	قمت أخاف أدخل في أي مشكله تستوي ف المول أحس برنامج الصدمه	fear	0.594
2018-Ar-01807	إن كانت حال الأعرابي كما تقول فأجدر به أن يمسكها لوجه #الله تعالى خشية أن تؤذي غيره #تحايا	fear	0.379
2018-Ar-03679	آسف على نفسيتي المتقلبه على غضبي المفاجئ واسف لقلبك المسكين الذي يعاني من مزاجيتي بدون ذنب منه اسف لحظك اللي أعطاك شخص سيء مثلي يحبك 😴	fear	0.438
2018-Ar-02856	المهم إنك تقرين بأنك جبانة ولا تملكين إلا البربرة بالتويتر يلا طقطقي على المهابيل اللي عندك ❤️ 🙏 بالتوفيق	fear	0.344
2018-Ar-00038	@moonalkon2 ذكرني فيني باول برزنتشين ارتجاف وهوف مو طبيعي😂😂😂	fear	0.406
2018-Ar-01692	مهما كنت خائفه أن تغادرني يوما لايكاد يكون خوفي شيئا أمام رهبتي أن كل مافات لم يكن حبا وأنني لم أكن شيئا يلمس قلبك وتخيفك خسارته	fear	0.652
2018-Ar-01573	كان الحلم دوله خليجيه واحده فأصبح الحلم كابوس #كلنا_قطر #كلنا_تميم	fear	0.484
2018-Ar-03155	كل ما تبئى طيب وغلبان وبتخاف على مشاعر الناس كل الناس دول حيدوك على أفاك	fear	0.629
2018-Ar-01076	ياخي خاف ربك لا تخوفنا	fear	0.823
2018-Ar-03391	هاذا مو انتقام وبس انتي قضيتي علي	fear	0.516
2018-Ar-00980	يقولون ابحث عن فضولي الحقيقة ابحث عن مجنس في اي مشكلة #شجار_الرفاع	fear	0.188
2018-Ar-01132	#يعني_ايه_حكم_العساكر \nامبارح تيران وصنافير..! \nوانهارده الوراق ..! \nوبكره هيجي الدور على بيتك..!!\nقوم اصرخ ثور✊ \nكفايه خوف 😒 \nكفايه سكوت 😡	fear	0.500
