ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-02836	وإلى الأن أنا مش نادم ع الوقت المناسب إللي كنت ب إنتظاره وفات الأوان ومالحقت عليه أؤمن ب إنه لو مافاتني لاواجهت حسرة أشكره لتجاوزه عني	sadness	0.468
2018-Ar-02354	ضايق صدري لِي ايام والله العظيم \nغصه في الحلق مدري وش اسوي بها ..	sadness	0.781
2018-Ar-02662	بتخاف ع اخواتها اوى دايما سر اخوها بتكون فرحة البيت مبيعرفش قيمتها غير اللى مخلفش بنات وﻻ اﻻخ اللى ملوش اخت	sadness	0.355
2018-Ar-03527	@FerasQ11 @ELRey_FCB @Nadjib__FCB ترة كان بامكاننا نحقق اكثر من  هالتسع بس عندك ادارة تخسى تسوي هالشي 😂😂☺️ ادارة جبانة	sadness	0.297
2018-Ar-03014	عرفتك من أول يوم و انت طبعك الخيانة بس الي صدمني تخون الي عاملك بشهامة #خيانة	sadness	0.609
2018-Ar-00111	ثالثا صباح الخير لكل شخص يشعر بالأسى والضياع خلف خيبة أصابته❤❤	sadness	0.375
2018-Ar-03983	#دموع_باردة\n\nمن يعز عليك تحافظ عليه، لأن الانسان لا يفرط في حياته ولا يتنازل عن سعادته ، فالحبيب بمكانة البصر والسمع للعين والأذن\n\nمش كدا؟	sadness	0.547
2018-Ar-03656	انا قايمه علي كابوس ابن جزمه و كذا يوم كوابيس كوابيس ؛ و قلبي واجعني و فيه اضطراب 😣 😣 بكره الكوابيس بكرهها 😖 😨	sadness	0.563
2018-Ar-03771	حانق جدا اتمنى محد يكلمني	sadness	0.565
2018-Ar-00079	مفيش حاجة اسمها صدفة \nده مجرد جرس إنذار بيقولك خلي بالك فيه حقائق تانية في حياتك\nانت لسة ماشفتهاش	sadness	0.274
2018-Ar-02807	اخاف من خوض العلاقات الجديده اخاف من ان أخذل من أن افقد الثقه بكل مره أخاف ان أصاب بالحزن الشديد لذلك أختار نفسي	sadness	0.609
2018-Ar-03937	ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا	sadness	0.758
2018-Ar-03854	مشاعرى تشكو الغياب وتقيم الحداد كلما تذكرتك يامي خيم الحزن على قلبي وكان غيمة سوداء تصب مطرها من دموعي اه ياوجع الرحيل	sadness	0.855
2018-Ar-02498	@FRS___21 مب طبيعية صارت تنرفزني المباريات😥	sadness	0.359
